,GW,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,team,name
499,744.0,1.0,1489.0,3.0,0.0,9.0,527.0,6.0,154.0,1326.0,75.29999999999998,8.0,0.0,11096.0,0.0,2.0,7264.0,19.0,40.0,1.0,72.8,402462.0,532.9999999999999,5.0,0.0,0.0,2600.0,0.0,0.0,392.0,1.0,0.0,0.0,0.0,145.0,0.0,744.0,0.0,6859538.0,3.0,21.0,4.0,57.0,62.0,118.0,85.0,353786.0,747014.0,393228.0,1864.0,19.0,0.0,1.0,Manchester United,Victor Lindelöf
500,746.0,0.0,13.0,0.0,0.0,0.0,3.0,0.0,0.0,10.0,12.700000000000001,0.0,0.0,4446.0,0.0,0.0,7203.0,1.0,1.0,0.0,2.0,396724.0,1.2,1.0,0.0,0.0,26.0,0.0,0.0,408.0,0.0,0.0,0.0,0.0,0.0,0.0,746.0,0.0,3602715.0,3.0,0.0,0.0,36.0,66.0,6.0,2.0,-159322.0,6837.0,166159.0,2130.0,19.0,0.0,0.0,Chelsea,Victor Moses
501,744.0,0.0,328.0,0.0,0.0,2.0,105.0,3.0,18.0,265.0,45.0,5.0,0.0,13908.0,0.0,0.0,7301.0,10.0,4.0,1.0,23.899999999999995,405440.0,113.2,2.0,0.0,0.0,511.0,0.0,1.0,386.0,0.0,0.0,0.0,0.0,40.0,0.0,744.0,0.0,104646.0,7.0,11.0,3.0,49.0,57.0,80.0,24.0,3662.0,9838.0,6176.0,1865.0,19.0,1.0,2.0,Tottenham Hotspurs,Victor Wanyama
502,742.0,0.0,1227.0,0.0,0.0,4.0,294.0,6.0,78.0,1141.0,44.2,4.0,0.0,9994.0,0.0,0.0,7265.0,17.0,7.0,1.0,42.99999999999999,400090.0,328.99999999999994,1.0,0.0,0.0,1220.0,1.0,0.0,394.0,0.0,0.0,0.0,0.0,69.0,0.0,742.0,0.0,2990468.0,1.0,9.0,2.0,50.0,68.0,55.0,58.0,-41306.0,80837.0,122143.0,1992.0,19.0,1.0,6.0,Manchester City,Vincent Kompany
503,741.0,4.0,3045.0,3.0,1.0,22.0,932.0,20.0,258.0,2725.0,111.09999999999998,9.0,0.0,9348.0,1.0,0.0,7255.0,12.0,22.0,4.0,156.1,398939.0,993.6,7.0,0.0,0.0,3384.0,1.0,0.0,396.0,0.0,1.0,0.0,0.0,194.0,0.0,741.0,0.0,53764623.0,4.0,23.0,15.0,44.0,67.0,455.0,208.0,684443.0,1851310.0,1166867.0,2387.0,19.0,0.0,1.0,Liverpool,Virgil van Dijk
504,743.0,4.0,881.0,4.0,1.0,5.0,398.0,9.0,60.0,664.0,798.4000000000001,33.0,0.0,19152.0,0.0,1.0,7183.0,24.0,53.0,5.0,170.2,410168.0,515.8,49.0,0.0,0.0,2569.0,1.0,16.0,410.0,0.0,0.0,0.0,0.0,167.0,0.0,743.0,0.0,3939337.0,77.0,9.0,17.0,51.0,52.0,387.0,106.0,194915.0,603072.0,408157.0,1722.0,19.0,1.0,6.0,Cardiff,Víctor Camarasa
505,742.0,0.0,449.0,0.0,0.0,6.0,311.0,5.0,17.0,211.0,0.0,0.0,0.0,5130.0,1.0,0.0,7203.0,0.0,26.0,0.0,35.9,395163.0,358.7999999999999,0.0,0.0,0.0,1575.0,0.0,0.0,406.0,0.0,0.0,0.0,1.0,138.0,0.0,742.0,44.0,9840035.0,0.0,0.0,0.0,55.0,49.0,0.0,67.0,9172.0,528288.0,519116.0,1712.0,19.0,0.0,0.0,Crystal Palace,Wayne Hennessey
506,745.0,0.0,622.0,0.0,1.0,3.0,206.0,4.0,110.0,487.0,20.000000000000004,4.0,0.0,12768.0,0.0,2.0,7297.0,15.0,24.0,0.0,34.7,404857.0,283.6,1.0,0.0,0.0,1170.0,0.0,0.0,388.0,2.0,0.0,0.0,0.0,82.0,0.0,745.0,0.0,576736.0,6.0,5.0,5.0,48.0,62.0,41.0,29.0,-15153.0,14013.0,29166.0,1637.0,19.0,0.0,2.0,Southampton,Wesley Hoedt
507,741.0,0.0,890.0,0.0,2.0,7.0,365.0,6.0,147.0,721.0,40.099999999999994,1.0,0.0,8170.0,0.0,1.0,7244.0,18.0,28.0,3.0,80.5,397761.0,471.0,3.0,0.0,0.0,1924.0,3.0,0.0,398.0,0.0,0.0,0.0,0.0,79.0,2.0,741.0,0.0,2533835.0,2.0,12.0,5.0,47.0,52.0,293.0,76.0,5395.0,158846.0,153451.0,1713.0,19.0,2.0,1.0,Leicester,Wes Morgan
508,741.0,0.0,1990.0,2.0,3.0,4.0,571.0,9.0,167.0,1588.0,342.40000000000003,33.0,0.0,8626.0,0.0,2.0,7244.0,46.0,47.0,2.0,141.6,398217.0,726.0,22.0,0.0,0.0,3295.0,2.0,0.0,398.0,0.0,0.0,0.0,0.0,320.0,0.0,741.0,0.0,1817120.0,49.0,73.0,34.0,47.0,52.0,346.0,89.0,-7133.0,94944.0,102077.0,1867.0,19.0,0.0,8.0,Leicester,Wilfred Ndidi
509,742.0,11.0,1004.0,5.0,5.0,13.0,459.0,11.0,9.0,783.0,753.3000000000001,106.0,0.0,5738.0,0.0,0.0,7203.0,44.0,49.0,10.0,270.6,395801.0,752.8000000000001,55.0,0.0,0.0,3037.0,16.0,11.0,406.0,0.0,0.0,0.0,0.0,134.0,1.0,742.0,0.0,35654765.0,250.0,10.0,23.0,55.0,49.0,1200.0,143.0,-781555.0,1668823.0,2450378.0,2595.0,19.0,2.0,8.0,Crystal Palace,Wilfried Zaha
510,746.0,7.0,1226.0,10.0,6.0,6.0,475.0,11.0,26.0,1052.0,1165.5,39.0,0.0,4712.0,1.0,0.0,7203.0,12.0,25.0,3.0,246.69999999999996,397004.0,557.6000000000001,79.0,0.0,0.0,2091.0,11.0,12.0,408.0,0.0,0.0,0.0,0.0,106.0,0.0,746.0,0.0,11609806.0,63.0,13.0,18.0,36.0,66.0,742.0,108.0,-284391.0,522230.0,806621.0,2761.0,19.0,1.0,2.0,Chelsea,Willian Borges Da Silva
